title,genre,director,country,year
38-я параллель (фильм),"драма, боевик, военный",Кан Джегю,Республика Корея,2004
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981
33 (фильм),драма,Патрисия Ригген,"США, Чили, Колумбия",2015
32-е августа на Земле,"драма, ,, мелодрама",Дени Вильнёв,Канада,1998
32 декабря (фильм),"комедия, ,, фантастика, мелодрама",Александр Муратов,Россия,2004
31-й километр,"ужасы, ,, мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006
31 июня (фильм),"музыкальный фильм, (, мюзикл, ),, фэнтези",Леонид Квинихидзе,СССР,не указано
31 (фильм),Фильм ужасов,Роб Зомби,США,2016
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, фильм ужасов",Крэйг Мосс,США,2012
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006
30 безумных желаний,независимый кинематограф,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Питер Хатчингс, [вд]",США,2018
"29-я улица (фильм, 1991)","комедия, драма",Джордж Галло,США,1991
"29 пальм (фильм, 2003)","драма, роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003
29 километр (фильм),"драма, ,, музыкальный фильм",Леонид Андронов,Россия,2012
28 недель спустя,"постапокалиптический, фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания, [, 2, ]",2007
28 лет спустя,"постапокалиптический, фильм ужасов",Дэнни Бойл,"Великобритания, США",2025
28 дней спустя,Музыка к фильму,Дэнни Бойл,Великобритания,2002
28 дней,"драма, ,, комедия",Бетти Томас,США,2000
27-й день,научная фантастика,Уильям Эшер,США,1957
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000
27 секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019
27 свадеб,романтическая комедия,Энн Флетчер,США,2008
